Some lines of text
allowable here...

Date,Real Power Demand - Downtown Main Entrance (kW)
2013-11-09T08:00-05:00,14369.872
2013-11-09T08:15-05:00,14425.662
2013-11-09T08:30-05:00,14467.903
2013-11-09T08:45-05:00,14563.201
2013-11-09T09:00-05:00,14780.018
2013-11-09T09:15-05:00,14758.391
2013-11-09T09:30-05:00,14759.164
2013-11-09T09:45-05:00,14866.025
2013-11-09T10:00-05:00,15173.152
2013-11-09T10:15-05:00,15218.152
2013-11-09T10:30-05:00,15248.415
2013-11-09T10:45-05:00,15310.935
2013-11-09T11:00-05:00,15529.061
2013-11-09T11:15-05:00,15641.979
2013-11-09T11:30-05:00,15598.05
2013-11-09T11:45-05:00,15753.887
2013-11-09T12:00-05:00,15777.439
2013-11-09T12:15-05:00,15801.726
2013-11-09T12:30-05:00,15856.039
2013-11-09T12:45-05:00,15815.965
2013-11-09T13:00-05:00,15824.856
2013-11-09T13:15-05:00,15764.931
2013-11-09T13:30-05:00,15743.37
2013-11-09T13:45-05:00,15800.409
2013-11-09T14:00-05:00,15788.381
2013-11-09T14:15-05:00,15678.741
2013-11-09T14:30-05:00,15677.23
2013-11-09T14:45-05:00,15817.903
2013-11-09T15:00-05:00,15888.88
2013-11-09T15:15-05:00,15845.501
2013-11-09T15:30-05:00,15926.713
2013-11-09T15:45-05:00,15922.235
2013-11-09T16:00-05:00,15684.123
2013-11-09T16:15-05:00,15657.75
2013-11-09T16:30-05:00,15808.328
2013-11-09T16:45-05:00,15922.424
2013-11-09T17:00-05:00,15771.909
2013-11-09T17:15-05:00,15758.857
2013-11-09T17:30-05:00,15634.568
2013-11-09T17:45-05:00,15613.649
2013-11-09T18:00-05:00,15208.584
2013-11-09T18:15-05:00,15273.769
2013-11-09T18:30-05:00,15267.812
2013-11-09T18:45-05:00,15215.534
2013-11-09T19:00-05:00,15214.557
2013-11-09T19:15-05:00,15198.033
2013-11-09T19:30-05:00,15159.63
2013-11-09T19:45-05:00,15125.667
2013-11-09T20:00-05:00,15028.004
2013-11-09T20:15-05:00,14970.92
2013-11-09T20:30-05:00,14919.566
2013-11-09T20:45-05:00,14923.107
2013-11-09T21:00-05:00,14782.877
2013-11-09T21:15-05:00,14719.747
2013-11-09T21:30-05:00,14709.362
2013-11-09T21:45-05:00,14747.927
2013-11-09T22:00-05:00,14573.228
2013-11-09T22:15-05:00,14442.517
2013-11-09T22:30-05:00,14424.157
2013-11-09T22:45-05:00,14389.285
2013-11-09T23:00-05:00,14408.623
2013-11-09T23:15-05:00,14458.237
2013-11-09T23:30-05:00,14401.343
2013-11-09T23:45-05:00,14390.64
